Column1;acctdesc;location;following;followers;totaltweets;usercreatedts;tweetcreatedts;retweetcount;hashtags;text;target
0;Hincha del Apruebo, pero nunca de los Apruebistas...mi izquierda llega sólo hasta Mujica. Me gustan los chistes sobre estupideces posmodernas.;Chile;2;5;1006;05/06/2020 3:02;09/11/2020 23:59;0;[];@liznorthon @SoyAIvaro @ursulaeggers @MielyMerken @AlessandriFelip Pillaron al presunto, es de nacionalidad colombiana. No es sorpresa, la violencia es parte del inmigrante de origen colombiano, es su cultura.;1
2;;;66;167;3751;01/05/2010 17:14;09/11/2020 23:56;0;[];@ccarvajaly Cuando se den cuenta que eran homicidas o narco y los pillen dirán hemos dado con este inmigrante ilegal que era un delincuente.;1
12;;;235;10;799;22/12/2019 22:21;09/11/2020 23:52;0;[];@SergioChouza @santidemoreno11 Jajaajja ahí estuviste bien chouza se nota TU CABEZA DE SUDACA Y DE MAL PAGADOR,lo llevan en el ADN!!! esos papelitos para los países serios es un compromiso para vos y para los sudacas no;1
16;🍃ρєя αsρєяα α∂ αsтяα💫;Buenos Aires, Argentina;601;1483;24585;10/09/2010 14:51;09/11/2020 23:47;0;[];Acá podemos ver a un alemán, de cabello rubio, ojos celestes, bardeando a un negro de mierda que está en su mejor momento https://t.co/XchqgGMamO;1
20;🇨🇱;Concepción, Chile;1358;322;5516;25/05/2010 20:32;09/11/2020 23:42;0;[{'text': 'nomasinmigracionilegal', 'indices': [216, 239]}, {'text': 'nuevaleydemigracion', 'indices': [240, 260]}];"@Senado_Chile Murieron 8 compatriotas por culpa de un inmigrante que nunca debió pisar Chile, y ustedes se dan el lujo de no sesionar. Por su inacción, son cómplices de esas muertes. Más mano dura con los Ilegales.

#nomasinmigracionilegal
#nuevaleydemigracion";1
30;;Argentina;169;30;7167;10/12/2010 18:43;09/11/2020 23:28;0;[];Hay un negro de mierda q nos roba el foquito de afuera de casa. Si, el foquitooooo!! Q negro rata de mierda;1
37;"28. Contador. Intento de trader 🐣
Hincha fanatico del Unico grande 💙💛
Si no fuese por el capitalismo no podrias usar Twitter.";Córdoba, Argentina;626;124;3022;14/07/2015 20:48;09/11/2020 23:22;0;[];@Bizco_Chuelo Que dijo el inmigrante del altiplano? Me tiene bloqueado;1
40;"""Los seres humanos nacen con distintas capacidades. Si son libres, no son iguales. Si son iguales, no son libres"" Alexander Solzhenitsyn. Anti zurdos y ONU";Lake, England;2584;2512;32531;28/08/2019 16:45;09/11/2020 23:20;15;[];@ky91234567 @GobiernodeChile Da igual eran indigentes y chilenos, @GobiernodeChile le importan más inmigrantes en darles todo gratis. Así que ya saben, si los mata un inmigrante la justicia y gobierno le importará una reverenda raja. No lo olviden;1
44;Publicista y Productor de eventos y BTL. Separado. Papá de una princesa, Chuncho. No al maltrato animal.;Santiago de Chile;1116;1231;33350;22/09/2009 21:41;09/11/2020 23:15;0;[];Un chileno trabajador debe esperar años para poder arrendar un departamento si es que ha caído 3n dicom. Es como una condena de por vida... un inmigrante hasta se regodea con las ofertas, al dueño ahí le da lo mismo sin tienen antecedentes penales, hasta les pone alfombra roja.;1
46;"Contamos un continente al mundo y el mundo a un continente. Cuenta oficial de #ELPAÍSAmérica
Suscríbete a los hechos: https://t.co/Jm80AcYYcR";;1027;356083;221064;05/03/2013 18:41;09/11/2020 23:15;5;[];"El modelo de Harris es una creación de Carolina Herrera, una de las marcas más icónicas de EE UU y fundada en 1981 por una mujer venezolana, una inmigrante

Por @carmenmadi
https://t.co/jrAMfpX5I3";1
52;"Yo no me he robado niún chancho...y
Sé componer huesos";el cerro;659;261;24817;19/07/2011 20:04;09/11/2020 23:10;0;[];@cgajardop EL TITULAR DEBE MENCIONAR QUE EL ASESINO ES UN INMIGRANTE COLOMBIAMO !!!!!;1
55;;;65;31;1895;07/12/2019 11:56;09/11/2020 23:06;0;[];@____Daniel___E @BulnesUno @guardiacivil @policia Puto negro. Si lo pillo, lo reviento. O por lo menos lo intento...;1
59;Cuenta falopa dedicada al rey de la NBA | 4 anillos y 4 FMVP | Seguramente me coji a tu jugador favorito| #LeGreatness;Los Angeles, CA;195;184;702;19/09/2020 1:15;09/11/2020 23:03;0;[];@JohanRtp @miraquemiras @HechosVirales Alto panchito el colombia este llego a ir y le acomodo los dientes y le arreglo la cara de tragasable que tiene seguro le mataron al papa que amenazo con un arma al policia y le hecha la culpa a los policias;1
66;"abogado, docente, leproso y bielsista.
amigo de Moro y Zara. Adopta, no compres. A favor de los derechos de los animales, siempre. En situación de Android.";Rosario, Argentina;1089;410;5446;26/02/2020 19:31;09/11/2020 22:58;0;[];"Hijos de re mil putas!
Son corruptos y encima no tienen un puto criterio 
Mientras tanto el hijo de mil putas de Damico le sigue chupando la verga al negro de mierda de Tapia. https://t.co/tACjPQo3SG";1
67;ala veerga todo;tal vez;73;62;2113;30/04/2020 22:40;09/11/2020 22:58;0;[];@_Jordix13 pero que hace ese puto negro loco;1
68;Padre, deportista, 🇨🇱 Jefe de los #SocialPatriotas #Nacionalista #NR #AntiGlobalista;;359;7327;8447;27/11/2017 21:05;09/11/2020 22:58;32;[];"Por supuesto cabal 13 se olvida de decir que el asesino era un inmigrante colombiano.
Para cuando la pena de muerte?
Para cuando la expulsión masiva de delincuentes extranjeros? https://t.co/G0oVd9h5o0";1
70;;;4952;722;2476;24/05/2014 18:24;09/11/2020 22:57;0;[];Me alegro de la lesión del puto negro del fracasalona debido al inflamiento mediático de la prensa Culerda y parte de la española, a mamar.;1
72;"Hincha del glorioso Newell's Old Boys. La pasión no tiene explicación ni la necesita.
Software Developer";Rosario, Argentina;342;82;6774;06/10/2010 10:54;09/11/2020 22:56;0;[];@NicoNavarroCABJ @patomartinez22 @CANOBoficial Ese instante es posterior a que el negro de mierda de Tevez le impacta el antebrazo y la pelota rebote en la mano del arquero. Con razón le dicen bosteros, son todos unos soretes;1
82;"🇵🇹 🇦🇷

Ley y orden";;569;73;3868;10/07/2020 9:25;09/11/2020 22:50;0;[];@elsombare A cachondo lo miran las milis y sus novios, es un asco ese negro de mierda ni gracia da;1
85;ver noticias...;;3547;2251;32206;27/11/2019 1:25;09/11/2020 22:47;1;[];"dejame adivinar... inmigrante?... narco?... alguna marca o manera especial de ""firmar su obra""?... mas temprano que tarde, el mierdal que armaron, les va a llegar a la puerta... https://t.co/f9gTlHC91q";1
90;Mis logros en esta red social consisten en ser bloqueado por Cepeda y el pizza con piña ese, e insultar y enfadar a partes iguales a todo el mundo.;Sevilla, España;305;74;3183;22/09/2020 9:17;09/11/2020 22:44;0;[];"Eres un simio, eres un puto simio, tienes 2 neuronas y a veces no se te empalman, mecago en tu puta madre'

Creo que nadie jamás había descrito con tanta exactitud cuánta subnormalez hay metida en este cuerpo, gracias @SrAlvija";1
94;;;15;0;2378;28/08/2018 1:19;09/11/2020 22:41;0;[];"@biobio Jajajaaa inmigrante sera colombiano?
Como permiten que entre esa calaña de gente.y asi como ese deben haber muchos más pululando por ahi.";1
105;Ansioso. Hincha del Tolima.;Latinoamérica;75;20;1135;16/06/2020 23:50;09/11/2020 22:30;0;[];Unpopular opinion: como bogotano me da lo mismo un inmigrante venezolano que un inmigrante paisa/costeño/caleño/etc. La diferencia es un papelito nada más.;1
114;;;94;2;981;25/10/2016 3:51;09/11/2020 22:26;0;[];@24HorasTVN Bien ahí, enriqueciendo la cultura y aportando a Chile. No era ese el eslogan para permitir la llegada de tanto inmigrante?;1
119;;;766;909;17810;05/03/2020 1:09;09/11/2020 22:24;3;[];@Husar_Ludlow @carlosguerra53 Hay que  hecharlo  a pata' en la raja inmigrante sinvergüenza.;1
121;15 🇪🇸 @FNCompetitive x @AspidGaming;;331;778;10415;20/05/2018 11:48;09/11/2020 22:22;0;[];@indiigou estafador, familia de acogida en otro pais, inmigrante;1
124;Ciudadano y trabajador común.;;1435;1369;21532;16/12/2010 23:22;09/11/2020 22:21;0;[];@24HorasTVN Para q vamos a preguntar si es inmigrante 🤷🏻‍♂️;1
130;Escribiré una bio en inglés para hacerme el interesante (?);;338;248;17174;13/05/2020 18:14;09/11/2020 22:18;0;[];Holis @ClaudiaLopez un colombiano inmigrante asesinó a 8 personas en 8 días aquí en Chile, generalizamos o sería xenofobia? https://t.co/KVySw9Cotc;1
133;Somos muy felices y vivimos para ser felices toda la vida.Vamos por mas!;Rosario y de Newells;2908;696;8849;08/09/2012 18:06;09/11/2020 22:16;0;[];@cabrerahercap Siempre el negro de mierda de Tévez.. es una mierda;1
143;"Libertad es la herencia del bravo,
la victoria se humilla a su pie.";;974;1083;116351;09/08/2011 21:34;09/11/2020 22:05;0;[];"@vidalvocero Haber. Osea es inculto porque no es progre, es xenofobo porque limita el ingreso de extranjeros y es malo ser patriota. Te digo panchito, a tu modo de pensar prefiero ser inculto, xenofobo y por supuesto patriota a ser progre.
Y aun no esta dicha la ultima palabra en USA.";1
148;"Socia e hincha del C.A.Colon 🔴⚫ .
Nací en Santa Fe pero me como las eses y las erres como buena rosarina";Rosario, Argentina;271;131;12662;12/01/2013 4:50;09/11/2020 22:01;1;[];Que hijo de puta este negro de mierda.  Mira si vas a patear así la concha de tu hermana;1
